#NAME?;Trade Close;% Move;Wmv;W%mv;Mthmv;Mth%mv;DMTmv
10/07/2019;970,25;0,88%;4;0,41%;29,75;3,16%;3,12
09/07/2019;961,75;0,68%;5,5;0,58%;8,75;0,92%;2,39
08/07/2019;955,25;0,34%;-10,75;-1,11%;1,25;0,13%;1,19
05/07/2019;952;-1,47%;-28,5;-2,91%;-14;-1,45%;-5,24
03/07/2019;966,25;1,05%;-3,5;-0,36%;3;0,31%;3,67
02/07/2019;956,25;-1,01%;-19,5;-2,00%;-5,75;-0,60%;-3,58
01/07/2019;966;-1,48%;-18;-1,83%;-7,25;-0,74%;-5,33
28/06/2019;980,5;1,11%;-9,75;-0,98%;24,25;2,54%;3,95
27/06/2019;969,75;-0,61%;-15,25;-1,55%;29,5;3,14%;-2,20
26/06/2019;975,75;-0,84%;-22,75;-2,28%;61,75;6,76%;-3,03
25/06/2019;984;-0,63%;-2,25;-0,23%;78,25;8,64%;-2,30
24/06/2019;990,25;0,53%;-7,5;-0,75%;77,5;8,49%;1,93
21/06/2019;985;-1,35%;-12;-1,20%;78,75;8,69%;-4,96
20/06/2019;998,5;1,24%;17,5;1,78%;82,5;9,01%;4,50
19/06/2019;986,25;-1,15%;14;1,44%;80,25;8,86%;-4,23
18/06/2019;997,75;0,08%;35,5;3,69%;73,75;7,98%;0,28
17/06/2019;997;1,63%;53,5;5,67%;77,25;8,40%;5,88
14/06/2019;981;0,90%;38,25;4,06%;65,25;7,13%;3,22
13/06/2019;972,25;1,04%;31,75;3,38%;85,5;9,64%;3,67
12/06/2019;962,25;1,99%;9,25;0,97%;68,75;7,69%;6,89
11/06/2019;943,5;0,08%;-10,5;-1,10%;46,5;5,18%;0,28
10/06/2019;942,75;0,24%;-23,25;-2,41%;31,25;3,43%;0,83
07/06/2019;940,5;-1,31%;-22,75;-2,36%;25,5;2,79%;-4,59
06/06/2019;953;-0,10%;-9;-0,94%;38,5;4,21%;-0,37
05/06/2019;954;-1,24%;-19,25;-1,98%;27,5;2,97%;-4,41
04/06/2019;966;0,29%;9,75;1,02%;38,5;4,15%;1,01
03/06/2019;963,25;0,13%;23;2,45%;27,25;2,91%;0,46
31/05/2019;962;-1,16%;48;5,25%;23,75;2,53%;-4,13
30/05/2019;973,25;1,78%;67,5;7,45%;28,25;2,99%;6,25
29/05/2019;956,25;1,70%;43,5;4,77%;5;0,53%;5,88
